"1880-01-01",-0.2
"1881-01-01",-0.11
"1882-01-01",-0.1
"1883-01-01",-0.2
"1884-01-01",-0.28
"1885-01-01",-0.31
"1886-01-01",-0.3
"1887-01-01",-0.33
"1888-01-01",-0.2
"1889-01-01",-0.11
"1890-01-01",-0.37
"1891-01-01",-0.24
"1892-01-01",-0.27
"1893-01-01",-0.3
"1894-01-01",-0.31
"1895-01-01",-0.22
"1896-01-01",-0.15
"1897-01-01",-0.11
"1898-01-01",-0.28
"1899-01-01",-0.16
"1900-01-01",-0.09
"1901-01-01",-0.15
"1902-01-01",-0.28
"1903-01-01",-0.36
"1904-01-01",-0.45
"1905-01-01",-0.28
"1906-01-01",-0.23
"1907-01-01",-0.4
"1908-01-01",-0.44
"1909-01-01",-0.47
"1910-01-01",-0.43
"1911-01-01",-0.44
"1912-01-01",-0.35
"1913-01-01",-0.35
"1914-01-01",-0.16
"1915-01-01",-0.11
"1916-01-01",-0.33
"1917-01-01",-0.4
"1918-01-01",-0.26
"1919-01-01",-0.23
"1920-01-01",-0.26
"1921-01-01",-0.21
"1922-01-01",-0.27
"1923-01-01",-0.24
"1924-01-01",-0.28
"1925-01-01",-0.2
"1926-01-01",-0.09
"1927-01-01",-0.2
"1928-01-01",-0.21
"1929-01-01",-0.36
"1930-01-01",-0.13
"1931-01-01",-0.09
"1932-01-01",-0.17
"1933-01-01",-0.28
"1934-01-01",-0.13
"1935-01-01",-0.19
"1936-01-01",-0.15
"1937-01-01",-0.02
"1938-01-01",-0.02
"1939-01-01",-0.03
"1940-01-01",0.08
"1941-01-01",0.13
"1942-01-01",0.1
"1943-01-01",0.14
"1944-01-01",0.26
"1945-01-01",0.12
"1946-01-01",-0.03
"1947-01-01",-0.04
"1948-01-01",-0.09
"1949-01-01",-0.09
"1950-01-01",-0.17
"1951-01-01",-0.06
"1952-01-01",0.01
"1953-01-01",0.08
"1954-01-01",-0.12
"1955-01-01",-0.14
"1956-01-01",-0.2
"1957-01-01",0.03
"1958-01-01",0.06
"1959-01-01",0.03
"1960-01-01",-0.03
"1961-01-01",0.05
"1962-01-01",0.02
"1963-01-01",0.06
"1964-01-01",-0.2
"1965-01-01",-0.1
"1966-01-01",-0.05
"1967-01-01",-0.02
"1968-01-01",-0.07
"1969-01-01",0.07
"1970-01-01",0.03
"1971-01-01",-0.09
"1972-01-01",0.01
"1973-01-01",0.15
"1974-01-01",-0.08
"1975-01-01",-0.01
"1976-01-01",-0.11
"1977-01-01",0.18
"1978-01-01",0.07
"1979-01-01",0.16
"1980-01-01",0.27
"1981-01-01",0.32
"1982-01-01",0.13
"1983-01-01",0.31
"1984-01-01",0.16
"1985-01-01",0.12
"1986-01-01",0.19
"1987-01-01",0.33
"1988-01-01",0.4
"1989-01-01",0.28
"1990-01-01",0.44
"1991-01-01",0.42
"1992-01-01",0.23
"1993-01-01",0.24
"1994-01-01",0.32
"1995-01-01",0.46
"1996-01-01",0.34
"1997-01-01",0.48
"1998-01-01",0.63
"1999-01-01",0.42
"2000-01-01",0.42
"2001-01-01",0.55
"2002-01-01",0.63
"2003-01-01",0.62
"2004-01-01",0.55
"2005-01-01",0.69
"2006-01-01",0.63
"2007-01-01",0.66
"2008-01-01",0.54
"2009-01-01",0.64
"2010-01-01",0.72
"2011-01-01",0.6
"2012-01-01",0.63
"2013-01-01",0.66
"2014-01-01",0.75
"2015-01-01",0.87
